user_id,reorder_ratio,unique_product_count,avg_order_hour,avg_order_dow,avg_days_since_prior_order,cluster
27,1.0,1,13.0,1.0,4.0,2
33,1.0,1,16.0,2.0,27.0,1
37,0.6666666666666666,3,19.0,1.0,10.0,1
40,1.0,1,9.0,0.0,14.0,2
52,1.0,1,13.0,5.0,18.0,2
54,0.0,1,13.0,1.0,3.0,4
58,0.0,1,10.0,0.0,3.0,4
87,1.0,2,17.0,2.0,20.5,1
131,0.3333333333333333,3,8.0,6.0,10.0,3
142,1.0,1,14.0,0.0,4.0,1
152,1.0,2,7.0,0.0,10.0,2
182,0.5,2,7.0,2.0,15.0,4
202,1.0,4,18.0,2.0,30.0,1
209,0.5,2,15.0,5.0,19.0,3
210,0.0,2,12.0,0.0,0.0,4
222,1.0,2,14.0,2.0,6.0,1
227,0.3333333333333333,3,6.0,6.0,6.0,3
243,0.5,2,10.0,1.0,9.0,4
247,0.0,1,16.0,3.0,30.0,3
269,0.0,3,14.0,6.0,30.0,3
270,0.0,1,13.0,3.0,7.0,3
280,1.0,2,19.0,0.0,27.0,1
281,0.6666666666666666,3,21.0,0.0,30.0,1
284,1.0,1,16.0,5.0,7.0,2
307,1.0,2,10.0,4.0,22.0,2
316,0.5,2,12.0,2.0,11.0,4
320,0.0,6,15.0,0.0,8.0,0
330,1.0,1,16.0,5.0,29.0,2
334,0.3333333333333333,3,17.0,2.0,3.0,1
335,0.0,1,11.0,6.0,30.0,3
373,1.0,1,10.0,1.0,5.0,2
379,1.0,1,12.0,2.0,11.0,2
381,0.0,1,14.0,0.0,15.0,4
422,1.0,2,13.0,0.0,8.0,2
430,0.0,1,20.0,2.0,14.333333333333334,3
432,1.0,2,17.0,2.0,24.0,1
451,1.0,1,13.0,4.0,15.0,2
461,1.0,1,15.0,1.0,28.0,1
462,1.0,2,12.0,1.0,7.0,2
463,0.0,3,17.0,1.0,30.0,4
479,1.0,1,18.0,4.0,7.0,2
496,1.0,1,9.0,5.0,4.0,2
509,0.0,1,11.0,4.0,30.0,3
525,1.0,2,11.0,1.0,11.0,2
529,1.0,1,16.0,0.0,4.0,1
551,0.0,2,14.0,3.0,15.0,3
553,0.0,1,17.0,3.0,7.0,3
603,0.0,1,9.0,5.0,30.0,3
626,0.5,2,9.0,4.0,2.0,2
649,0.5,2,20.0,0.0,7.0,1
655,1.0,3,20.0,4.0,9.0,1
667,1.0,1,12.0,3.0,2.0,2
688,0.5,2,13.0,2.0,1.0,2
696,1.0,3,8.0,1.0,6.0,2
698,0.0,1,12.0,0.0,0.0,4
699,1.0,2,15.0,5.0,22.0,2
728,0.0,3,15.0,3.0,25.0,4
729,1.0,1,12.0,1.0,7.0,2
735,1.0,1,12.0,2.0,5.0,2
779,0.0,1,10.0,2.0,30.0,4
787,0.0,1,13.0,0.0,1.0,4
789,1.0,1,19.0,1.0,30.0,1
799,0.0,1,18.0,6.0,6.0,3
812,0.0,3,12.0,0.0,5.0,4
824,0.0,1,21.0,3.0,4.0,3
830,0.25,4,12.0,0.0,30.0,0
844,1.0,1,21.0,0.0,28.0,1
852,1.0,1,12.0,0.0,6.0,2
854,1.0,1,15.0,0.0,4.0,1
857,1.0,3,7.0,5.0,8.0,2
866,1.0,7,11.0,0.0,20.0,0
870,1.0,1,12.0,6.0,7.0,2
893,0.0,2,12.0,6.0,7.0,3
894,1.0,3,16.0,6.0,6.0,2
903,0.0,2,10.0,0.0,30.0,4
911,1.0,1,10.0,3.0,2.0,2
914,0.0,3,16.0,1.0,30.0,4
944,1.0,1,13.0,5.0,15.0,2
950,1.0,1,9.0,2.0,20.0,2
961,1.0,2,22.0,4.0,9.0,1
968,0.0,2,14.0,2.0,4.5,4
975,0.0,2,16.0,6.0,7.5,3
997,0.5,2,11.0,2.0,23.0,4
1004,0.5,8,21.625,1.625,0.5,0
1018,1.0,1,15.0,5.0,2.5,2
1022,1.0,2,12.0,0.0,5.0,2
1036,0.8,5,22.0,3.0,8.0,0
1050,1.0,2,11.0,6.0,2.0,2
1120,1.0,2,7.0,6.0,4.0,2
1138,0.3333333333333333,3,13.333333333333334,5.0,1.0,3
1165,0.0,1,11.0,2.0,0.0,4
1176,0.0,2,11.0,2.0,12.0,4
1177,1.0,1,13.0,0.0,4.0,2
1212,0.0,1,16.0,2.0,24.0,4
1238,0.5,2,16.0,3.0,16.0,1
1243,1.0,1,19.0,1.0,26.0,1
1250,1.0,1,12.0,1.0,14.0,2
1254,0.0,2,22.0,4.0,11.0,3
1271,1.0,1,16.0,0.0,7.0,1
1310,0.0,1,11.0,5.0,1.0,3
1340,1.0,1,12.0,0.0,4.0,2
1350,1.0,1,19.0,2.0,4.0,1
1378,1.0,2,14.0,1.0,6.5,1
1382,0.0,1,8.0,2.0,30.0,4
1410,1.0,2,9.0,4.0,5.0,2
1418,0.0,1,11.0,0.0,30.0,4
1453,1.0,1,18.0,0.0,5.0,1
1498,0.3333333333333333,3,14.0,0.0,11.0,4
1510,1.0,1,23.0,2.0,6.0,1
1523,1.0,1,13.0,0.0,2.0,2
1547,1.0,2,8.0,0.5,19.0,2
1549,1.0,2,18.5,1.5,3.0,1
1563,1.0,1,16.0,0.0,2.0,1
1595,0.0,1,6.0,1.0,6.0,4
1620,0.0,1,10.0,6.0,30.0,3
1622,1.0,2,14.0,2.0,15.0,1
1645,0.0,1,9.0,3.0,30.0,4
1659,0.75,4,14.0,2.0,22.0,0
1672,0.0,2,8.0,4.0,9.0,3
1712,1.0,2,15.0,2.0,25.0,1
1716,0.6666666666666666,9,13.333333333333334,4.0,6.0,0
1738,1.0,1,13.0,4.0,15.0,2
1741,1.0,1,10.0,3.0,9.0,2
1759,1.0,1,8.0,4.0,4.5,2
1784,0.0,1,19.0,6.0,9.0,3
1786,0.0,1,10.0,5.0,0.0,3
1788,0.0,1,15.0,4.0,11.0,3
1789,0.0,1,17.0,5.0,30.0,3
1793,0.5,2,11.0,5.0,2.0,2
1798,1.0,2,12.0,2.0,23.0,2
1814,1.0,1,4.0,2.0,3.5,2
1824,0.0,2,18.0,2.0,21.0,4
1837,1.0,2,8.5,2.5,6.5,2
1861,0.0,1,11.0,1.0,10.0,4
1866,1.0,2,20.0,5.0,4.0,2
1918,1.0,1,13.0,3.0,14.5,2
1958,1.0,1,12.0,2.0,1.0,2
1965,0.6666666666666666,3,12.0,4.0,8.0,2
1986,0.0,1,8.0,2.0,3.0,4
1990,1.0,3,14.333333333333334,4.666666666666667,9.5,2
2033,0.5,2,22.0,4.0,8.0,1
2041,0.8333333333333334,6,11.666666666666666,0.0,7.0,0
2098,1.0,2,19.0,3.0,11.0,1
2194,1.0,4,18.0,6.0,23.0,0
2197,0.0,1,10.0,0.0,0.0,4
2231,1.0,1,22.0,1.0,4.0,1
2235,0.0,4,7.0,0.0,4.5,0
2237,1.0,1,7.0,4.0,6.0,2
2262,1.0,1,19.0,4.0,4.0,2
2270,0.0,1,11.0,1.0,20.0,4
2279,0.0,2,13.0,6.0,3.0,3
2282,0.3333333333333333,3,7.0,6.0,7.0,3
2333,0.0,1,10.0,5.0,0.0,3
2334,0.6666666666666666,3,9.0,0.0,2.0,4
2335,0.0,3,6.0,4.0,6.0,3
2361,1.0,3,9.0,1.0,22.0,2
2362,0.0,1,16.0,4.0,4.0,3
2365,1.0,1,7.0,2.0,7.0,2
2374,0.5,2,16.0,2.0,16.0,1
2382,0.0,1,23.0,5.0,23.0,3
2383,1.0,2,0.0,1.0,5.0,2
2387,1.0,1,12.0,4.0,2.0,2
2390,0.0,1,15.0,2.0,30.0,4
2396,0.2,5,12.0,3.8,9.0,0
2405,1.0,3,7.333333333333333,0.6666666666666666,5.0,2
2419,0.0,4,7.0,5.0,4.0,0
2432,0.0,1,19.0,4.0,27.0,3
2437,1.0,3,8.0,6.0,6.0,2
2439,0.5,2,11.0,1.0,5.0,4
2440,0.0,2,10.0,2.0,4.0,4
2443,0.75,4,12.5,3.0,7.5,0
2461,0.0,1,12.0,3.0,0.0,3
2531,0.5,2,17.0,4.0,2.0,3
2539,0.6666666666666666,3,7.0,0.0,10.0,4
2546,1.0,1,15.0,3.0,7.0,2
2561,0.0,1,10.0,1.0,7.0,4
2565,1.0,1,17.0,0.0,8.0,1
2601,0.0,1,8.0,0.0,30.0,4
2607,0.0,1,15.0,2.0,0.0,4
2608,0.0,1,16.0,0.0,0.0,4
2626,0.8,5,15.0,1.0,9.5,0
2638,1.0,3,14.0,6.0,8.0,2
2646,1.0,3,14.0,0.0,7.0,1
2653,0.0,1,13.0,0.0,8.0,4
2654,0.0,1,10.0,4.0,16.0,3
2658,1.0,1,18.0,4.0,7.0,2
2663,1.0,1,18.0,0.0,3.0,1
2683,0.5,4,3.0,6.0,12.0,0
2688,1.0,2,10.0,3.0,2.0,2
2701,1.0,3,15.0,1.0,15.0,1
2702,0.0,1,15.0,1.0,5.0,4
2705,0.0,1,19.0,6.0,30.0,3
2720,1.0,1,9.0,3.0,28.0,2
2725,0.0,1,23.0,5.0,4.0,3
2732,0.5,2,12.0,0.0,30.0,4
2734,0.75,4,12.75,5.75,8.0,0
2758,0.0,1,16.0,2.0,3.0,4
2780,1.0,1,11.0,3.0,22.0,2
2786,1.0,2,8.0,3.0,5.0,2
2802,0.0,1,8.0,2.0,4.0,4
2815,0.6666666666666666,3,13.0,0.0,21.0,4
2816,0.0,1,14.0,2.0,21.0,4
2856,1.0,1,16.0,2.0,14.0,1
2866,0.0,1,9.0,5.0,0.0,3
2877,1.0,3,15.0,1.0,30.0,1
2921,1.0,1,13.0,2.0,9.0,2
2923,1.0,1,12.0,4.0,8.0,2
2926,1.0,1,15.0,4.0,7.0,2
2965,0.6666666666666666,3,15.0,0.0,21.0,1
2974,1.0,4,21.0,5.0,4.0,0
3022,0.6666666666666666,3,15.0,3.0,7.0,1
3097,1.0,1,15.0,1.0,8.0,1
3109,1.0,1,15.0,5.0,9.0,2
3113,1.0,1,18.0,6.0,30.0,2
3117,0.0,3,23.0,6.0,26.0,3
3118,1.0,1,17.0,1.0,20.0,1
3121,0.3333333333333333,3,17.0,0.0,20.0,1
3124,0.0,1,15.0,0.0,4.0,4
3144,0.6666666666666666,3,19.0,0.0,13.0,1
3154,1.0,3,19.0,0.0,3.5,1
3164,0.2,5,9.0,2.0,3.0,0
3189,1.0,3,9.0,1.0,30.0,2
3194,0.25,11,12.0,4.333333333333333,5.0,0
3210,1.0,1,14.0,1.0,4.5,1
3213,1.0,2,15.0,6.0,7.0,2
3215,0.5,2,11.0,3.0,5.0,2
3221,1.0,1,15.0,1.0,7.0,1
3223,1.0,1,9.0,1.0,7.0,2
3225,1.0,2,4.0,0.0,3.0,2
3234,0.0,1,12.0,5.0,17.5,3
3235,1.0,2,15.0,1.0,3.0,1
3246,1.0,1,14.0,1.0,6.0,1
3256,1.0,4,14.5,0.5,6.5,0
3273,0.8571428571428571,7,12.571428571428571,0.0,9.666666666666666,0
3277,1.0,1,14.0,3.0,2.0,2
3284,1.0,2,10.0,1.0,30.0,2
3285,1.0,1,23.0,5.0,4.0,1
3296,1.0,1,8.0,6.0,7.0,2
3306,1.0,1,19.0,0.0,7.0,1
